0,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500023,298.1500096,298.1500592,298.1874751,298.3033879
0.2,298.3478065,298.3486688,298.3514522,298.3614322,298.3629484,298.3718045,298.4523667,298.9046862,300.2273164,303.6090178,324.3409396,328.7408955
0.4,300.5545801,300.5600516,300.5764599,300.6338062,300.6424105,300.6922278,301.1193295,303.038308,306.9491669,313.7596902,339.3915949,343.862731
0.6,306.0327345,306.0425688,306.0720444,306.17476,306.190131,306.2789197,307.0264788,310.1480672,315.7696178,324.3665457,352.0230639,356.5206269
0.8,313.9266991,313.9390639,313.9761669,314.1053714,314.1246899,314.2361936,315.1690562,318.9629433,325.4855379,334.9661321,363.565778,368.0752748
1,323.1540804,323.1676879,323.2085304,323.3507169,323.37197,323.4946049,324.5182685,328.6418003,335.6075118,345.525227,374.5952259,379.1107026
2,374.5554661,374.570214,374.6144808,374.7685514,374.7915755,374.9244024,376.031333,380.4592278,387.8393266,398.1718767,427.695326,432.2166183
3.8,469.2589264,469.2736806,469.3179666,469.4721034,469.4951374,469.6280212,470.7354161,475.1650075,482.5474138,492.8822711,522.4082393,526.9295638
4,479.7829897,479.7977433,479.8420273,479.9961572,480.0191902,480.152068,481.2594148,485.6888297,493.0709955,503.4056118,532.9313161,537.4526373
6,585.0201403,585.0348906,585.0791645,585.2332596,585.2562873,585.3891353,586.4962377,590.9247591,598.305707,608.6391027,638.163471,642.6847751
10,795.4871674,795.5019177,795.546192,795.7002884,795.7233163,795.8561653,796.9632764,801.3918295,808.7728207,819.1062599,848.6306759,853.1519805
12,900.7207241,900.7354745,900.7797489,900.9338454,900.9568733,901.0897226,902.196835,906.6253932,914.0063913,924.3398374,953.864261,958.3855658
14,1005.954306,1005.969057,1006.013331,1006.167427,1006.190455,1006.323305,1007.430417,1011.858974,1019.23997,1029.573414,1059.097836,1063.619141
15,1058.571096,1058.585846,1058.63012,1058.784217,1058.807245,1058.940094,1060.047206,1064.475763,1071.856759,1082.190203,1111.714624,1116.235929
